name,location,price,area,bhk
Purva lakevista,"1 BHK Flat in Pallikaranai, Chennai",₹50 Lac,614 sqft,1 BHK
"prop guider , aria.","2 BHK Flat in Tambaram, Chennai",₹45 Lac,"1,001 sqft",2 BHK
Sidharth Crown,"1 BHK Flat in Madhavaram, Chennai",₹42 Lac,580 sqft,1 BHK
"Mangadu, Chennai, Chennai West","4 Bedroom House in Mangadu, Chennai",₹1.4 Cr,"1,000 sqft",4 BHK
"Gerugambakkam, Chennai, Chennai South","3 Bedroom House in Gerugambakkam, Chennai",₹90 Lac,600 sqft,3 BHK
"Mangadu, Chennai, Chennai West","3 Bedroom House in Mangadu, Chennai",₹1.3 Cr,800 sqft,3 BHK
"Fomra Hues
4.0","2 BHK Flat in Porur, Chennai",₹86 Lac,957 sqft,2 BHK
Vellisaara apartment,"1 BHK Flat in Mangadu, Chennai",₹32 Lac,535 sqft,1 BHK
On Request,"2 BHK Flat in Valasaravakkam, Chennai",₹1.25 Cr,992 sqft,2 BHK
"Shriram Park 63
3.8","3 BHK Flat in Perungalathur, Chennai",₹1.68 Cr,"1,800 sqft",3 BHK
Hiliving Serenity,"3 BHK Flat in Madhavaram, Chennai",₹1 Cr,"1,275 sqft",3 BHK
Purva Windermere,"1 BHK Flat in Pallikaranai, Chennai",₹39.1 Lac,611 sqft,1 BHK
"Navins Starwood Towers 2
3.7","2 BHK Flat in Medavakkam, Chennai",₹45 Lac,591 sqft,2 BHK
on request,"3 BHK Flat in Alwarthirunagar, Valasaravakkam",₹1.55 Cr,"1,400 sqft",3 BHK
LML Iconia,"2 BHK Flat in Porur, Chennai",₹66 Lac,954 sqft,2 BHK
Pacifica Pride Towers,"3 BHK Flat in Padur, Chennai",₹85.44 Lac,"1,441 sqft",3 BHK
"Mangadu, Chennai, Chennai West","2 Bedroom House in Mangadu, Chennai",₹80 Lac,900 sqft,2 BHK
Godrej Azure,"3 BHK Flat in Padur, Chennai",₹1 Cr,"1,250 sqft",3 BHK
